Rating,Reviews
2,Good matt nude lipstick
2,I would sell it -- book complete with dust cover. Excellent
2,A welcomed change from the frozen plains of Europe
1,where does the Novel begin?
1,Avoid it.
1,ok...
2,The Scarlet Letter
1,This edition is not complete
2,Creepy
1,A book for those with time on their hands
1,Painful
2,Great novel
1,Horrible reader
1,Mistake?
2,"The ""Scarlet"" Letter"
2,The Scarlet Letter a must read for any American
1,The Scarlet Letter: A soap opera
2,This book is Great!
1,I had to read it...
2,Possibly the funniest movie ever made.
1,same problems as munchkin version
2,Sassy Baby Warming Dish. Interesting concept.
1,Unreadable!
1,Used for circuits project
1,Two Tedious Hours
1,one of the worst movies of 2002
2,Fantastic
1,very disappointing
1,Sandler Strikes Out
1,"Not the worst, but far from good"
1,Been waiting for a foreign lauguage AOL CD?
2,"It Rises above the ""Fluff"" Books"
2,Itten The Elements of Color
2,great IMO
2,I wish...
2,Good follow-up to El Cielo.
1,WOW!
2,80s Hard Rock
1,Low class effort by High Class Band
2,Good Quality Cell Phone Holder
2,Loved it!
2,Charlie Brown Christmas was a Great Christmas Gift!
2,There is no way anyone with a soul could ever give this a negative review....
2,"I ought to slug those R movie loving critics! ""They don't know entertainment"" as Krusty would say"
2,Charlie Brown Christmas
2,Proof that good things are built to last
2,great Christmas gift
2,Yahoo for Charlie Brown
2,The Best Present Of All
2,Classic
1,Not a real Rammstein album.
1,After a few months- broken
2,"Works great, and half the price"
2,This is a good product!
2,Quite Satisfactory
2,Great product at a great price
2,Excellent Item!
1,Off and on
1,"Cheap, Doesn't charge, dangerous, power cord"
2,So much better than the apple version!
2,Good product at reasonable price
1,If you're tempted to throw away $30....
1,Plug DOESN'T work with the iBook G4
1,Stopped Working Day 3
2,Another Binchy Great
2,TU VIDA JAMAS VOLVERA A SER LA MISMA
2,Deep view of what counts for run and growing an organization
1,"book only, no jacks"
2,Thomas connector tracks
1,Plain and Simple: A Journey to the Amish
1,Disturbing.
1,Not Very good
1,Cannot adjust for coarseness
2,Solid Effort...But Missing a Spark
2,My Girl Likes It
2,Still a great book
1,I could have spent my money better
2,Terrific Reference for Identifying Butterflies
2,Climalite works as intended
2,A Man of Reason
2,I was there
2,Course Book
2,Leadership Made Spiritual
2,Absolutely incredible
2,Has-Been? THINK AGAIN!
1,Band saves CD
2,Almost perfect CD
2,The Castle in the Attic
2,non stop adventure
1,worst book in the world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2,One of my favorites as a kid
2,excellent
2,Best witch book i've ever read!!!
1,Maybe next time...
2,To many issues
1,Lara should have remained in the tomb
1,Angel of darkness is correct
1,"Great Work, Poorly Organized Kindle Book"
2,this will interest children in insects
1,"Good, but only to the midway point"
1,a terrible product
1,BUYER BEWARE
1,Didactic melodrama
1,"Well, not everything"
1,Software is Horrible!
1,Biography of Wright and his works
2,The Top Ten List for Christians byJames W. Moore
2,Live it
1,elem diff e-q's
2,This is really cool!
1,Very Disappointing.
2,A carefully constructed read.
1,Poor quality and high price... are these knock-offs?
2,Almost perfect
1,Not Stainless
2,"The meaning of God, the meaning of life."
1,What a disappointment!
1,You get what you pay for.
1,junk!
2,fireplace tool set
1,Failed to Work
2,Long Hot Summer
1,Mathematical nonsense
1,Boring ...
1,Stuck With You
2,None
2,Witty and clever.
2,Glorify Thy Name w/ Kent Henry
1,"lousy, outdated guide, with horrible printing flaws!"
1,Still yet to recieve
2,Big things in small package
1,broken :(
1,Lousy RF range; ON worked from further away than OFF
1,Left me feeling wanting.........
2,Gun Digest 1911 Review
1,THIS CD SUCKX!!!!!!!!!!!!!!
2,Nice but Sony must give us more info
2,LIvely Experimental Synthesizer Jazz with Global Fusion
2,CUT IT UP DEF
1,I do not recommend this vacuum
1,More Fiction than fact
1,waste of time and money!!!!!!!!!!!!!
2,CO alarm
2,Easy as it can be.
1,"""THE ROCKETS RED GLARE"" ???"
2,Absolutely great tripod for movie camera
2,A written masterpiece
1,"Love Jerry and Dean, just not this version"
1,"Crap, Junk, Worthless, etc"
2,Dense with knowledge
2,I'd give it 6+ stars if I could!
2,An American Treasure
1,not finding comfort in food
2,"Typical Thomas video, all about James"
1,Inexpensive but poor quality
1,Dull and dirty
2,Deserving of the Pulitzer it won; but don't be scared by it.
2,"""Like this"" by Technotronic featuring Monday Midnite"
1,A Disappointing Misrepresentation
2,A peek inside the process.
2,As good as the guy's new book on Horatio Nelson.
2,a worthy addition to WW II Eastern Front histories
1,Do Not Buy This Software!
2,Spiderman Trilogy [Blu-ray]
2,Awesome
2,I am so glad I found this!
2,Excellent.....REALLY
2,Its a cable
2,awesome book to explain death to children
2,I'm grateful for this book
2,Effective book for discussing physical death with a child
2,Great band even better now
1,USA1
2,Worst Night World book
1,This book is messed up
2,Impressive
2,The Haiku Year exemplifies integrating creativity
1,Not What I'd Hoped For
1,SHAME ON YOU MR. KEEL !!!
1,And the point was...?
1,Mothman proficies ?
1,Never Before.......
1,Are you joking?
1,fine if you support terrorism
2,"Good for afterwork cruising, better for airplane tranquility"
1,What's the big deal?
2,Excellant
2,"So Original, So Fun"
1,noritake colorwave stoneware
2,A wish to time travel to 1880's Rockaway.
2,Old age gold...
1,Tiene que ser sensilla!!
1,Repetitive and monotone
1,Worst book I've ever read
2,Frankenstein Continued??
1,Fine until it started eating tapes
1,My [Goodness]!!!!
2,"Lots of effects, lightweight & easy to use."
2,excellent book for the novice improviser to the instructor
2,hard -to-find tension rods
2,"YES, YES, YES great read"
2,A MUST HAVE!
2,Paradise kiss rocks!!!!
1,If you are a Nirvana fan this album is not for you.
1,Ehh
1,"""True"" Nirvana sucks"
1,garbage
1,Not what I expected
2,Love these glasses
2,Forsyte Saga - a well awarded but oft forgotten classic
1,The book is great but the edition is an embarrasment
1,Expensive experiment that didn't work
1,Lame Jujitsuka
1,Small type
2,Takes Tree-hugging to a New Level (Third)
2,Best Alan Dean Foster book!
1,Plain Putrid
1,Can I shoot myself now??
1,Awful
1,Cruel and Depressing Story
1,"The book was boring, because of its victorian ideals."
2,Obligatory
2,Good Companion Piece
2,Great classic
2,"Beautifully written, dark Masterpiece about an unforgetable Victorian girl."
1,I hated this book then....
1,Bad purchace.
1,Ummm
2,Science Fact Empowers Science Fiction
2,Unbearable Lightness of Being-- Unbearable Yet Enjoyable
1,Please read Kundera's book instead
2,Sad Yet Beautiful
2,Milan Kundera rides again...
1,Lacking
1,The Unbearable Length of Worker & Parasite (End Spoiler)
1,disappointed
2,The birth of Drone??
2,Short stories with a message
2,Fantastic products - great way to try them all!
2,Amazingly soft hair!
2,Prose-Poetry to inspire
2,On the Road To Enlightenment
1,Flat Kerouac
1,Self Indulgent Nonsense
1,"Outlines of Theology, AA Hodge: Kindle edition"
2,Life changing!
1,not worth it
1,WAIT FOR THE BETTER DVD COMBO!! So dissapointing!
1,Not really a good movie
2,transformers
2,Loved It!
2,Transformers: Dark of the moon
2,TRANFORMERS DARK OF THE MOON
1,"1 was a sin, 2 was an atrocity, 3 lacks a word to describe its awfulness"
2,Yeah
1,"Please, if this is the way this franchise is going... STOP!"
1,instant video is mislabeling it's movies as 3d
1,"Another 'video game' type of movie, Whyyy?"
1,"Great eye candy, but compares poorly to the first one"
1,Horrible
1,Transformers: Dark of the Moon
1,"The movie itself is ok, the streaming for it was crap."
1,"The perfect movie, for a 12 yr old"
1,Lights out on this awful film
1,Not that great
1,Digital Copy Code Expired 9/30/12
2,Love this movie
1,Could have been MUCH better and shorter
2,Review of Transformers:Dark of the Moon
2,Transformers Dark of the Moon
1,"Movie is ok, but.................."
2,Guys Movie
1,Never thought I'd miss Megan Fox!
2,Transformers: Dark of the Moon
1,Thought transformers suppose to be for kids....
1,Safety pins
1,Bad Movie By A Bad Wrestler
2,B-Movie-Licious
1,Hell no.
1,"What a complete and utter waste of time, and money."
1,Please Listen to Me...Don't buy this product!
2,Sony E-Marker is now obsolete
2,"good idea, good looks, needs lots of work"
1,Totally Useless
1,worthless
1,Another thingabob on a key chain
1,Sony has pulled the plug
1,Worthless
1,Don't buy this Junk
1,Artwork???
1,Absolutely ruined it.
1,"""I Can Read"" book has better illustrations"
1,The description said Stephen Gammell as artist and it was not...
1,Disappointed
1,Tongue hurt my ankle
1,Buy the 1993 version instead.
2,Protection Advice
1,know the source of your information
2,Great movie and terrific views of the Dingle peninsula.
2,Viewed it yesterday
1,Ryan's Revenge
2,Excellant movie and seller
1,it sounds great!~!~!~!~!
2,It's a very reliable printer...
1,Grindhouse?
1,Am I missing something?
2,Is honesty always rewarded ?
2,LOVE THIS BOOK
2,Awesome if not overplayed
2,A Great CD for all people
2,"Beyond the mega-hit, preview of better things to come"
2,It's Great!
1,The One Star
1,I won't buy one again
1,Non Computer Geek
1,Curved Thomas the Train tracks
1,O-o-okay
2,Heads above the first book in the trilogy
2,Good book
2,Fantastic Sci Fi Classic
2,Phenomenal
1,"Good politics, but no science"
2,Asimow is one of the best writers of all times
2,Classic
1,Don't Bother
1,tough going
1,Dissatified
1,"Goes ""Haywire"" Regularly"
2,"Old fashioned, sweet story."
1,Stay Away
1,worst.........movie............ever
1,Blu-Ray Review
1,LAST Nicolas Cage film for me!
1,What did I watch?
2,Great Writing
2,If you can't make it to Mongolia this season....
1,Banal and Boring
2,GREAT ITEM
2,Amazing Score.
1,Do not buy this camera
2,Brio Medium straight track
1,It's too simple even for a KISS book
2,Quality from Tripp Lite as always
1,awful
2,Good grill for the money.
1,Excessive Typos Ruined it for Me
2,entertaining action movie SPOILERS
2,one more positive note
1,Criminally stupid mistake to not provide the orginal sound
2,This is the movie that introduced me to the awesomeness of action movies of the 1980's
2,Great DVD packed with a ton of features!
1,AWFUL
2,"Oh, my God! It's Stereolab!!!"
2,Perfect Family Fun!!!
2,Great kids movie
2,Funny
2,Excellent Album
2,Well Played Kid's Music
1,Highway Robbery
2,well....
1,Where are the woodwinds?
2,Vivid colors; tight fit only lasts a few times
2,These Shoes are made for walking.
2,Persuasive book with an unusual approach
2,Another Sensual Gem from this Composer
2,Kingston Technology KVR133X64C3/ 256 PC133 256MB 32MX64
2,You'll enjoy this CD
2,Madonna is a great singer
2,EVITA! EVITA! EVITA! EVITA! EVITA! EVITA!
1,Disappointed in product quality and support
2,A text book worth keeping for reference
1,"A small leak, right out of the box"
1,Did not last long
2,It's a great value!
2,Great bed for guests
2,comfortable sleep
1,Intex Pillow Rest Twin Airbed with Built-in Electric Pump
2,Great Bed for Guests
2,Intex pillow rest twin airbed with built in electric pump
1,Do Not Buy
1,It would be great if it stayed inflated!
1,Valve broke after a couple of uses
2,Ecelente producto
1,WOULD NEVER BUY AGAIN
1,Intex pillow rest twin mattress is a flop
2,Comfortable
1,Disappointed but shouldn't be surprised
2,Works well
2,Great for the summer
2,Quick and Easy
2,Love it
2,Great Find at a Great Price
2,"Its better then a ""normal"" bed"
1,Electric pump failed
2,Excellent product for the price
2,great mattress
1,Would not recommend
1,Is loosing air with ALMOST NO USE!!
2,The Best Air Mattress EVER!!!
2,Fantastic
2,Better than the Queen size bed
2,Step's Best Work So Far!
2,200 bucks?
2,DVD review
1,Not worth the money
2,good
1,Too Expensive
1,No way!
1,Not worth the money
2,GREAT prodct
1,Awful
1,Too big!
1,Awful!
1,HATE IT!
2,Fantastic (and FAST!)
2,"After 6 years, this album is still awesome."
1,I'm glad I didn't pay for it.
2,Great book!
2,Streisand:Live In Concert (2CD's) - Good
1,Come on... You Have Gotta Be Kidding!
1,misleading photo
1,Waste of money
1,What a waste!
1,Slick Looking - Components are older technology - Keyboard sucks!
1,Confused
2,Great deliver of all products
2,"Romeo and Juliet, the tragic story"
1,Oh Romeo
2,A good introduction to the tragedies.
1,RoMeO aNd JuLiEt!!!!
1,Good book -- but not this edition
1,How do films like this get made?
1,What the Heck ???
1,"Cute, But a Little Cheap..."
1,Disappointed
1,"no color, no buy"
2,Not classic Yello - but very very good!
1,Disappointed!
1,A double edged sword
1,MANSON HATES EMMONS.
1,"Lies, Lies, Lies"
1,REALLY CMON NOW LETS GET REAL!!!!!!!!!!!!
2,I couldn't put it down
1,sadly predictable
1,Struggled Through!
1,Klaatu Hopeless
2,A Must read
2,A unique take on a classic theme
2,One Brave Act changes a civilization
2,GREAT Dali book .... Great Amazon price
2,Great space heater!
2,Thorough and interesting look at this most intriguing literary woman.
1,Buyer Beware!!
1,This will be an additional toy for next spring's yard sale
1,Worst scanner I've owned.
2,a childhood favorite
2,"Forget Belkin, look no further than the GUF320"
2,Great Book
2,Most Interesting Ending
2,Afghan lovers unite
1,complete nuisance
1,bad company
1,does not work
1,Decent player... while it lasts
1,Poor substitute for an iPod
1,Yet another broken headphone jack.
2,Discontinued 70PD05500032?
2,Top Notch Christmas Jazz
1,review
1,Wow
2,"Basketball, not at its best"
1,never again
1,Reaching for the Light
1,Hardly worth reading
2,Statin levels
1,DECEPCIONADO
1,"Excellent show, poor sound"
2,Northwinds - 'Great God Pan' (Black Widow)
1,It does not use your classification for the musics.
1,Returned the View twice in one week
1,Worst mp3 player on the market.
2,Nice Device
2,This player is very very good
1,Don't buy without a good return policy.
1,Don't buy this piece of crap
1,Nothing is from scratch?
2,Really funny and exciting
2,Good book
2,Great History
2,Handy card holders
1,It does the job
2,Buy this now!
2,Forward the Mage an Alternate Style
2,Fantasy writing at its best
1,A device grows old
2,Cool Documentary
1,Informative but idiosyncratic coverage of historical warships
1,Jabra Eargels
1,Jabra Ear Gels
1,What a waste
2,"Fast delivery, great product"
1,JABRA EAR GELS
2,jabra eargels
1,Don't waste your money
1,Not well suited for the Jawbone II
1,pain in the ear
2,JEG
1,scottiesgems
1,Don't waste your money
1,This movie is not all that
1,Hmmmmmmm
1,"Crap, all crap"
2,The Odyssey with Armand Asanti
1,"Great movie, but what's with the price?"
1,Very BORING
2,"Birds, Beasts and Relatives"
1,I Don't Think So!
1,The white whale isn't
1,Did not fit in ear
2,Great Series opener
2,The Face of a Stranger
1,Waste of time and money
1,This is not a normal Mercedes Lackey book.
1,I hope Frances Mayes Got A Lot of Money for the Rights...
1,very much disappointed
2,A very sexy and entertaining film! 5 stars!
1,Terrible movie
1,Last time I let the Blockbuster guy recommend a movie....
1,under the Tuscany Sun
2,Wonderfully Inspiring Movie!
1,Diane Lane is great but skip this movie
2,Canon NB-5L good for the XS200IS
1,Here's what really happened...
1,"A failure of ""Battlefield Earth"" proportions!"
1,TERRIBLE MOVIE! DO NOT BUY!
1,Horrible.
1,ZERO stars... OMG I can't believe I even bothered to finish this thing.
1,"Junk, need I say more JUNK"
2,I Hope I'm Not Allergic To It!
2,concisely written
1,What the????
1,When Good Products Go Bad
1,Very disappointed
2,Very large
1,dont get it
1,Not a good toy
2,JBL MRX512M
1,Good for downhill only
2,Pratchetts Best!!!!
2,Pratchett Review Haiku
1,Why do people like this garbage?
1,Boring plot.
1,cross contamination
2,Just Accepting Gluten Free Life
1,Terrible!
1,get the facts
2,Thank God for Jax Peters Lowell ! !
1,Not useful and a waste of money
1,Devoid of depth or even much substance
1,Try something else.
2,Mr. Dickens slams industrial horror scenes.
1,Less than one star.
1,Parents - Don't waste your money! Buy the GBA game
2,Rivetting Sci-Fi in Paradise
2,A Must Have
2,Super Reader
1,Politics?
2,A Must for Handgunners - Old and New
1,Lousy Camera
1,Piece of junk
2,Video too!
2,Motown Heaven -- The Soundtrack for Boomers!
2,Great true crime read
1,static central
1,I expected something better
1,Somewhat worked for 30 days....now starting to fail
1,Freud is crazy!
2,"If life is a dream, then don't wake me up"
2,It arriived
2,Barely Unbeatable Theory
2,When did Grandpa die and what do we tell the kids?
1,Amazon.com sent wrong size
2,One of the best of the Marco Polo Josef Strauss series.
2,"Janet, is the Best female singer!"
2,Another Great Addition To The Buddy Holl(e)y Story!
2,Captivating
2,Sure she's a little annoying... BUT.
2,Great Information
2,Good Overview and Very Informative
2,Superb!
2,Chilbirth Education Video
1,TH E MOST ANNOYING WOMAN ON EARTH
2,GO FOR IT!
2,LOVED this video!
2,RECOMMEND!
1,Couldn't finish watching
2,very informative
2,Poignant & Intelligent -- give this one a listen!
2,"Exquisitely fresh, jazzy & melodius, crisp & classy!"
1,At least it's free
2,Yardbirds
2,One of my favorites...
2,"Nice French farce, similar to 'un elephant'"
2,Daniel Auteuil is fabulous
1,This book is AWEFUL
2,Captivating and Engrossing
2,Absolutely Breathtaking!!!!!!!!!!!
2,one of the best series EVER!!!
1,Giants Mats
2,Exactly what I ordered
2,Touching
2,One of the best foreign language films
2,Wonderfully emotional.
1,The remix is different
1,Why the remix?
1,Art and Passion...but no Science
1,No illustrations
1,No drawings!
2,what hard rock is all about
2,Thuvia maid of mars
1,Old-School Bore Metal
1,Only works with Microsoft e-mail clients
2,A new beginning...
1,Do not order from Ritz Camera - wrong item
1,It's an ad.
2,A Jesse Stuart Harvest: My opinion of it
1,Flyboys
2,World War I aviation visited
2,fly boys
1,Sappy and Stupid
2,This CD Rulez
2,"""Souless Pop?"" Not here"
2,Thank God
1,getting tired of the cliche
1,shameful ripoff
1,"Great movie, horrible DVD!"
1,How STUPED can you GET!
2,Mighty Ducks rulz
1,What's this?...
1,raydiation
2,WELL DONE RAY J.
2,Stew
1,don't waste your money
2,Brilliant reinvention
1,Contrived -- SPOILER ALERT
1,Too bad it's boring
2,carnivale
1,"Once again, a great book chopped up like onions."
1,Dissapointing after Into Thin Air and The Climb
1,Don't bother!
1,This is not a book about climbing Mt. Everest...
2,Best Show Around
2,cj
2,"This is a great game for rookies, champs, and bored kids!"
1,From the biggest CULT of all!
1,Pro?! Huh?
2,"Good, but not great"
1,I gave it a try...
1,Does not work on Windows XP!
2,"if you love cats,get this!!"
1,terrible
2,"""Hope"" may be a wrong concept."
2,A timeless classic that's an unforgettable must-read.
2,1984
1,1984
1,Not a helpful history book AT ALL
2,TEACHERS??
2,"If you haven't read it, you owe it to yourself"
2,Scary!
2,disturbing and relevant
2,The greatest work of the 20th Century
2,Orwel Rolls in His Grave
2,A Thoughtful Read
2,The title should be revised to say 2004!
1,George had a good idea but the book really stunk.
2,two plus two makes FOUR!!!!
2,A Very Interesting Read
2,Let's not pat ourselves on the back that this didn't happen.
1,Boring and depressingly morbid at the same time...
1,1984
2,masterpiece
2,1984 as true today as in 1948
2,I thought the book was great.
2,When Already?
1,Might as well fan yourself with your hand and save on batteries.
1,:\
2,"Like silky, velvet dreams"
1,He isn't what I remember.
1,Need to proof read your work
1,NOT RECOMENDED DO NOT BUY THIS WARMER
1,Waste of money
2,It is what is......
2,Erotic and Romantic... One of Anne's Best!
2,"Wonderful story coupled with steamy, erotic scenes."
1,Stick with Sleeping Beauty
1,Vile from the beginning
1,spirirt house. a boring bloody mess.
2,Spirit House: Read This In An Air-Conditioned Space
1,I HATE THIS BOOK
1,Re: Is 451 degrees really the temp books burn at?
1,NOT THAT GOOD
2,Start memorizing this book.
2,dystopian classic
2,really good
2,What a classic
1,Didn't Like it!!
2,A book with many levels
2,Fahrenheit 451
1,"Great Book to read, but NOT to LISTEN to."
1,DON'T READ THIS MIND-NUMBING DRIVEL!
1,Hardly even deserves 1 star
2,"Captivating language, needless to say amazing."
2,Ok
2,Excellent!!! My #1 book of all time!!!
2,Very important book
2,It'll never go out of date
1,"Bleak, Blind, and Boring."
1,"Fahrenheit 451, Burning Up My Brain"
1,Sadly a disappointment
2,F 451 shows how dangerous a person's ideas are.
2,A must read - especially for teenagers.
1,poor reading
2,Good
2,Explains a lot of things from the movie
1,Fahrenheit 451
1,Fahrenheit %0ZERO0%
1,BURN THIS BOOK!
1,A Very Dark and Mysterious Book
1,I tried reading this book for my summer reading & it was bad
1,WASTE OF MY TIME
1,This is the lamest book I have ever read
1,Weird Weird Weird Weird!!!!!!
2,real cranberries
2,"INTERESTING AND SAD! , BUT VERY WELL DONE!"
2,motorola phone car charger
2,It worked
2,Well made product at fair price
1,Not so good
1,battle weary
2,chalinging game
1,Horrible Game
1,why oh why does anyone play this
2,The Code of Dusty Fog
1,Intriguing beginning and then schmaltz
2,I Kept Waking Up My Husband......
2,High Quality For a Reasonable Price
1,Hallmark of the disposable society?
1,NO AVAILABILITY
1,poor quality DVD recording
2,Interesting View Into British Culture
2,Colin Firth...need one say more?
2,Ones to watch over and over
1,Sweet Revenge
1,Not worth the great price
1,Warning. I HIGHLY don't recommend this set!
2,"Great card, better than expedcted..."
2,Great card but difficult to setup
1,same
2,Louie's Goose
1,Trite story line with poor recipes
1,an unusual writing technique
1,self indulgent tripe
1,My farts make more sense than Finnegans Wake
1,Naked Emperors
1,Mad with Vanity
1,He's challenging us to doodle...
2,Nietzsche is NOT the antichrist!
2,Pocket chart
2,Sraight-up raw emotions...
1,I didn't know Sepultura was hardcore.
2,Hatebreed is the god of all that is god about hardcore.
1,"Worse than ""The Quest"""
2,"I liked it, but my dog doesn't."
1,Imitation Brand
1,Not good for small dogs like lhasas
2,The Wild Thornberry's Movie
1,Disappointed
1,stargate continuum
2,stargat continuam review by cvf
2,Very pleased!
2,2/3 done
2,It's great to have SGC Back
2,Above expectation
2,Video Review
1,Great movie butt o grainy on blueray
1,one time cooker
1,The few standout tracks on this album are...
1,Soulstar - - Not Quite There Yet!
2,This cd is really cool..give him a break
2,Jusbeautiful
1,ultimately ineffective
2,Run Lola Run
2,What if!
2,My favorite movie ever
1,A bit overrated. . .
2,Achtung!
2,Good for Hip and Knee joints in my Bichons
2,RELLY CHALINGING.
1,Just another excuse to make money
2,10 stars!
1,Disappointing
2,Thank goodness for Amazon!
2,Joshua & Children
2,"Nice CD, but mislabelled"
2,Colleen - Colleen Et Les Botes Ã€ Musique
2,McDuffie's elegance and artistry are marvelous.
2,"Great value, brute force"
1,"Not a horror movie, a horrible movie"
1,Absolute Crap!
1,A Truley Horrible Horror Film
1,Too awful to be funny
1,Catherine Zeta-Jones trap!
2,Great Mystery - Not So Great Horror Flick
1,...and what a feeble haunting it is!
1,"Great - then ZZZZZZ - then EGADS, what a waste!"
1,Poor plot
1,Catherine Zeta-Hipboots
1,Typical Hollywood pulp
1,EMBARASSINGLY BAD
1,"IF IT AIN'T BROKEN, DON'T FIX IT"
1,Sadly Disappointing
1,"It may be a modern-day classic to some, but not to me..."
1,Poor re-make of a good movie
2,A lot better than the factory seat.
2,Great story
2,Please the parents and the kids
1,too small for a newborn
2,book review
2,A great buy
2,helped a bit
2,A Surprising Find
2,"5 for the 1st, 4 for the 2nd"
2,Make sure you see Jean de Florette first
1,Does not work with Minolta DiMAGE 7i digital cam
1,"Will Die, Don't Buy"
2,My favorite book of all-time
2,Simply Superb.
2,This Book Changed My Life
2,"Macondo, la capital del mundo"
1,Too Boring to Continue
1,Columbian family values
1,500 pages of boredom
2,my #1 book
1,You must read this book!
1,Emporer's new clothes.
2,U will never read anything like it
2,One of the best ever.....
2,A Haunting and Incredible Experience
1,lesson in the depravity of man
1,Could never read this book....
2,Excellent translation of Marquez's masterpiece
2,great card
2,The best discworld novel; for beginners or veterans
2,Pratchett I just love him
1,I'll second that
2,"Carrot, Vimes, Colon and Nobbs are all back to fight crime!"
1,"Terrible product, did not work, and company unreachable."
2,Where are the other seasons?
1,Kindle-Version of Bantam Classics un-readable
1,Beware of editions by General Books LLC
1,Kindle version is very poorly edited
1,Aaarrrggghhh
2,Cnnterbury Tales(Oxford Word's Classics)
1,"Great movie, poor audio transfer"
1,Tedious and Self-Inflating
2,This is GOLD!
2,Excellent fiddle
1,This Coyote Is No Genius
2,Good movie + these Coyotes aren't ugly!
1,"The bar scenes were cool, but that's about it"
1,Coyote Stupid
1,Absolutely horrible!
2,Great Movie
2,Stunning
2,A must have. Not a bad song on the albumn.
2,Rocks. Best. Get it.
2,GREAT
2,the album grows on me...
2,Shirley...yum
2,Shirley & The Boys Do It Again
2,Great show
2,GREAT
2,absolutely engrossing and wonderful movie
2,Julia
2,Review of JULIA
1,Glich Heaven
2,Wonderful flow
1,DO NOT WASTE YOUR MONEY !
1,"Another Bogus ""How to be a better surfer DVD."""
1,dont do it
1,no book key
1,Needs some modification
2,Nigerians! An Industrious People
1,"If you love the songs on Noddy, DON'T BUY!!"
2,Nice Experience.
2,A rebuttal ...
2,Native American Herbal Remedies
1,blleeuurrgghhhh
2,Dad is in Trouble
2,can't stand those male co-stars
1,bad acting
2,Switching Goals - a very good movie
1,"Entertaining, but freaky"
1,Will bore you to death
2,A good book
1,Not happy
2,Nice suit.
1,Worst test prep book I have ever used.
1,preliminary review
2,Wild Wild West
1,Isn't there a larger version of this game??
1,Disappointed
1,It's great when it works
2,the bad quality doesn't ruin the concert
2,Goodfun
1,Borinmg & dumb
2,Best film of the year
2,See this movie just for Ian McKellen's performance!
2,best screenplays have more stability
1,Tree arrived bent and poorly packed
2,A Legendary story by Robert Creamer
2,A Great Book on a Sports Legend
2,This will make your install a breeze. . .
2,Great summer read
2,Gripping Novel About the Loss of a Child
1,"If I could rate it 0 stars, I would have!"
2,Helpful Start
1,Sooo dissapointed
1,Material too flimsy
1,Disappointed
1,Looks & feels like a bootleg product.
2,Underappreciated Effort
2,Awesome!
1,A look at a distant past
2,Excellent Translation!
2,One of Clftons great ones
1,PURE JUNK
1,Poor example. The homework problems like hell
1,Misleading title
1,Propaganda
2,Excellent information
1,Great Concert - Bad DVD
2,Great deal on a fine subwoofer
1,This Book is NOT for NXT
2,Practical Guide When Making This Challenging Decision
2,Excelente
2,definitely the best horror\suspense book I know
2,why?
2,chuck
2,Memory Lane
2,Love these little smoker bisquettes.
2,the best kept secret anti aging creams on the planet
1,Doesn't fit my situation.
